State,2014_x,2015_x,2016_x,2017,2013_x,2014_y,2015_y,2016_y,2012_x,2013_y,2014_x,2015,2011_x,2012_y,2013_x,2014_y,2010_x,2011_y,2012_x,2013_y,2009_x,2010_y,2011_x,2012_y,2008_x,2009_y,2010_x,2011_y,2007_x,2008_y,2009_x,2010_y,2006_x,2007_y,2008_x,2009_y,2005_x,2006_y,2007_x,2008_y,2004_x,2005_y,2006_x,2007_y,2003_x,2004_y,2005_x,2006_y,2002_x,2003_y,2004_x,2005_y,2001_x,2002_y,2003_x,2004_y,2000,2001_y,2002,2003_y
Alabama,5,9,3,13,13,5,10,4,9,13,5,10,6,9,13,5,6,6,9,13,7,6,6,9,6,7,6,6,5,6,7,6,10,5,6,7,6,10,5,6,9,6,10,5,5,9,6,10,5,5,9,6,12,5,5,9,10,12,5,5
Alaska,.,.,1,1,.,.,1,1,.,.,.,1,.,.,.,.,.,.,.,.,2,.,.,.,.,2,.,.,.,.,2,.,.,.,.,2,1,.,.,.,.,1,.,.,.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.
Arizona,7,7,10,10,6,7,8,10,9,6,7,8,5,9,6,7,9,5,9,6,8,9,5,9,13,8,9,5,10,13,8,9,20,10,13,8,21,20,10,13,16,21,20,10,10,16,21,20,14,10,16,21,9,14,10,16,15,9,14,10
Arkansas,5,3,4,3,5,5,3,4,2,5,5,3,3,2,5,5,6,3,2,5,.,6,3,2,3,.,6,3,6,3,.,6,6,6,3,.,4,6,6,3,3,4,6,6,2,3,4,6,12,2,3,4,7,12,2,3,2,7,12,2
California,81,81,88,118,66,89,88,96,69,66,89,88,55,69,66,89,59,55,69,66,47,59,55,69,60,47,59,55,71,60,47,59,81,71,60,47,82,81,71,60,80,82,81,71,82,80,82,81,90,82,80,82,76,90,82,80,72,76,90,82
Colorado,5,4,7,6,4,5,5,7,2,4,5,5,5,2,4,5,4,5,2,4,2,4,5,2,5,2,4,5,2,5,2,4,7,2,5,2,3,7,2,5,2,3,7,2,5,2,3,7,4,5,2,3,6,4,5,2,4,6,4,5
Connecticut,5,3,4,5,2,5,4,4,3,2,5,4,2,3,2,5,5,2,3,2,3,5,2,3,6,3,5,2,8,6,3,5,2,8,6,3,3,2,8,6,1,3,2,8,2,1,3,2,4,2,1,3,3,4,2,1,4,3,4,2
Delaware,.,2,2,2,.,.,2,3,.,.,.,2,2,.,.,.,1,2,.,.,2,1,2,.,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,1,1,2,2,3,1,1,2,4,3,1,1,1,4,3,1,2,1,4,3
Dist Of Columbia,.,1,1,4,.,.,1,1,.,.,.,1,.,.,.,.,1,.,.,.,1,1,.,.,1,1,1,.,.,1,1,1,.,.,1,1,1,.,.,1,2,1,.,.,1,2,1,.,1,1,2,1,1,1,1,2,.,1,1,1
Florida,25,29,24,39,24,27,32,29,17,24,27,32,24,17,24,27,33,24,17,24,19,33,24,17,26,19,33,24,33,26,19,33,28,33,26,19,33,28,33,26,20,33,28,33,32,20,33,28,33,32,20,33,28,33,32,20,29,28,33,32
