OFFICE,FY,I-485 Asy Receipts,I-485 Asy Approvals,I-485 Asy Denials,I-485 Asy Pending,I-485 Ref Receipts,I-485 Ref Approvals,I-485 Ref Denials,I-485 Ref Pending,I-485 Indo Chin Receipts,I-485 Indo Chin Approvals,I-485 Indo Chin Denials,I-485 Indo Chin Pending,I-485 Employ Receipts,I-485 Employ Approvals,I-485 Employ Denials,I-485 Employ Pending,I-485 Fam Receipts,I-485 Fam Approvals,I-485 Fam Denials,I-485 Fam Pending,I-485 Cuban Receipts,I-485 Cuban Approvals,I-485 Cuban Denials,I-485 Cuban Pending,I-485 Others Receipts,I-485 Others Approvals,I-485 Others Denials,I-485 Others Pending
ABQ,2012,0,2,0,1,2,2,0,8,0,0,0,0,0,7,2,3,865,813,83,320,64,40,0,22,19,26,2,4
AGA,2012,0,4,1,0,0,0,1,0,0,0,0,0,0,1,4,5,895,813,93,299,5,0,0,4,10,9,6,1
ALB,2012,0,6,0,1,2,20,0,12,0,0,0,0,0,11,1,1,612,469,76,262,1,3,1,3,21,32,3,5
ANC,2012,0,1,0,1,0,2,1,6,0,0,0,0,0,3,3,0,407,412,32,123,5,4,0,0,8,25,1,5
ATL,2012,0,71,4,16,14,56,17,16,0,0,0,0,0,301,50,57,8404,7565,1194,3400,394,212,52,155,122,120,15,173
BAL,2012,0,78,2,87,21,18,8,26,0,0,0,0,0,131,16,120,5578,4266,590,2950,35,21,8,15,123,234,39,125
BOI,2012,0,3,0,0,1,29,5,2,0,0,0,0,0,7,1,0,485,393,62,177,1,1,1,0,13,20,4,4
BOS,2012,0,57,11,3,8,21,7,4,0,0,0,0,0,126,44,17,5405,4406,470,2321,36,15,1,15,91,124,9,57
BUF,2012,0,14,2,0,6,74,5,35,0,0,0,0,0,30,6,10,907,660,88,306,186,141,6,43,39,36,6,14
CHA,2012,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,103,82,19,44,2,0,0,2,1,1,1,12
CHI,2012,1,37,3,41,38,60,11,60,0,0,0,0,0,222,70,266,10407,8798,1155,5372,74,50,5,40,101,373,22,36
CHL,2012,0,10,0,11,29,11,1,13,0,0,0,0,0,31,7,10,1320,1031,159,499,27,8,1,17,17,22,1,12
CHR,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,9,19,0,0,0,0,0,0,0,1
CHS,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
CIN,2012,0,11,0,5,2,6,1,3,0,0,0,0,0,7,9,5,688,645,82,245,2,2,0,2,11,19,3,4
CLE,2012,0,23,2,2,1,28,3,10,0,0,0,0,0,14,15,27,1072,844,88,408,9,6,3,5,39,38,1,8
CLM,2012,0,18,5,10,10,36,21,4,0,0,0,0,0,20,3,8,1021,852,141,295,10,9,0,3,22,22,2,8
CLT,2012,0,25,2,0,18,24,6,29,0,0,0,0,0,32,8,10,2146,1767,201,974,111,75,5,47,33,35,6,15
CVC,2012,0,14,0,6,4,46,5,28,0,0,0,0,0,24,4,21,2600,2327,218,900,28,26,1,9,34,26,8,14
DAL,2012,0,32,10,23,6,50,14,45,0,1,0,2,0,80,29,62,8533,7395,867,4078,138,100,11,36,94,163,183,45
DEN,2012,0,11,3,17,26,45,4,22,0,0,0,0,0,49,10,46,3580,3250,431,1481,34,37,3,12,64,119,12,48
DET,2012,0,31,12,8,46,72,16,20,0,0,0,0,0,119,26,27,2953,2624,295,1107,68,54,4,29,68,89,9,37
DSM,2012,0,8,3,6,4,49,21,9,0,0,0,0,0,9,0,7,620,522,71,320,4,5,0,3,14,55,12,2
DVD,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELP,2012,0,2,1,1,1,1,0,3,0,0,0,0,1,39,2,3,2920,2745,224,1036,21,12,3,22,21,45,2,54
FRE,2012,0,19,7,11,3,13,2,5,0,0,0,0,0,29,4,12,2219,1963,225,1086,3,0,4,2,21,94,8,13
FSA,2012,0,0,0,0,0,1,0,1,0,0,0,0,0,9,1,8,416,337,74,173,2,4,0,1,11,41,1,0
GCU,2012,0,11,3,0,1,0,0,0,0,0,0,0,0,7,1,0,1732,868,90,0,5,4,0,0,45,86,5,0
GRR,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAR,2012,0,19,0,0,0,9,0,19,0,0,0,0,0,66,1,27,3028,2741,266,1695,26,7,1,18,18,66,9,4
HEL,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,198,171,10,56,0,0,0,0,4,2,0,1
HHW,2012,0,10,1,6,0,1,0,0,0,0,0,0,0,5,5,9,1346,1265,153,602,1,0,0,1,9,6,1,12
HIA,2012,0,21,2,7,8,27,4,15,0,0,0,0,0,30,10,5,2401,2039,304,1043,7832,6457,373,1733,38,39,3,15
HLG,2012,0,0,0,2,0,0,0,2,0,0,0,0,0,11,8,0,3079,3110,347,1346,32,19,2,20,109,167,82,26
HOU,2012,0,38,4,3,32,43,2,34,0,1,0,0,0,160,52,14,8970,7842,1086,3396,589,353,28,135,116,121,38,162
IMP,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,433,407,14,144,1,0,0,1,0,0,2,3
INP,2012,0,15,2,11,10,23,8,10,0,1,0,0,0,34,4,23,1532,1154,182,619,12,11,2,4,32,50,7,18
JAC,2012,0,8,2,2,2,10,1,3,0,0,0,0,0,15,3,13,1629,1398,204,570,214,152,5,45,26,14,2,20
KAN,2012,0,7,2,2,35,36,7,24,0,0,0,0,0,41,9,17,1592,1382,154,658,50,44,0,19,34,37,6,8
KND,2012,0,23,7,6,21,25,18,2,0,0,0,7,0,28,22,14,2332,1854,400,1209,7354,6737,466,1740,49,37,12,13
