" U.S. Citizenship and Immigration Services
Field Offices Form I-485 Applications to Register Permanent Residence or Adjust Status 
Receipts, Completions, and Pending 
Fiscal Years: 2010 through 2013 (November 2012) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, I-485 Asylee , I-485 Asylee , I-485 Asylee , I-485 Asylee , I-485 Refugee , I-485 Refugee , I-485 Refugee , I-485 Refugee , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Employment , I-485 Employment , I-485 Employment , I-485 Employment , I-485 Family , I-485 Family , I-485 Family , I-485 Family , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 All Others , I-485 All Others , I-485 All Others , I-485 All Others , Total I-485s , Total I-485s , Total I-485s 
Fiscal Year, Office , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
2010, ABQ , ALBUQUERQUE NM  , -   ,2, -   ,1, -   ,1, -   ,9, -   , -   , -   , -   , -   ,33,8,25,937,801,105,354,50,32,2,20,22,13,1,11,"1,009",998,420
2010, AGA , AGANA GUAM  , -   ,2,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,9,3,13,784,644,49,308,1, -   , -   , -   ,27,1, -   ,7,812,710,328
2010, ALB , ALBANY NY  , -   ,11, -   ,13, -   ,15, -   ,9, -   , -   , -   , -   , -   ,18,10,51,748,582,86,298,11,9, -   ,3,18,18,14,3,777,763,377
2010, ANC , ANCHORAGE AK  , -   ,6,1, -   , -   ,2,1,1, -   , -   , -   , -   , -   ,1,4, -   ,525,554,58,178,3,3, -   ,1,5,7,2,4,533,639,184
2010, ATL , ATLANTA GA  ,16,49,7,46, -   ,53,9,44, -   , -   , -   , -   , -   ,598,142,243,"9,591","7,591","1,739","4,024",270,115,22,97,166,148,38,81,"10,043","10,511","4,535"
2010, BAL , BALTIMORE MD  , -   ,92,38,67, -   ,23,7,18, -   , -   , -   , -   , -   ,"1,010",248,587,"6,620","5,430","1,066","2,647",52,23,3,9,117,333,68,86,"6,789","8,341","3,414"
2010, BOI , BOISE ID  , -   ,3,1,2,2,19,2,6, -   , -   , -   , -   , -   ,23,1,23,537,464,69,181,2,2, -   ,1,19,32,2,6,560,618,219
2010, BOS , BOSTON MA  , -   ,41,8,11, -   ,24,2,23, -   , -   , -   , -   , -   ,395,34,311,"5,934","4,495",603,"2,045",26,10,2,12,111,220,7,33,"6,071","5,841","2,435"
2010, BUF , BUFFALO NY  ,1,15,5,6, -   ,47,10,23, -   , -   , -   , -   , -   ,28,7,33,988,781,75,340,174,132,6,55,23,50,5,14,"1,186","1,161",471
2010, CHA , CHARLOTTE AMALIE  , -   ,3, -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,6,131,118,48,50,2,1, -   ,1,5,3, -   ,2,138,175,62
2010, CHI , CHICAGO IL  , -   ,68,7,22,1,91,10,21, -   , -   , -   , -   , -   ,488,130,"1,186","12,698","10,533","1,797","4,696",91,47,4,44,172,155,61,134,"12,962","13,391","6,103"
2010, CHL , CHARLESTON SC  , -   ,6, -   ,14, -   ,8, -   ,1, -   , -   , -   , -   , -   ,84,12,75,"1,663","1,291",159,687,26,15,3,11,32,62,4,3,"1,721","1,644",791
2010, CHR , CHRISTIANSTED VI  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,73,59,21,25, -   , -   , -   , -   ,1, -   , -   , -   ,74,80,25
2010, CHS , CHARLESTON WV , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6, -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   ,6, -   ,2
2010, CIN , CINCINNATI OH  , -   ,29,5,2, -   ,2,1,1, -   , -   , -   , -   , -   ,62,8,86,845,744,154,240,8,5,1,5,13,10,6,2,866,"1,027",336
2010, CLE , CLEVELAND OH  , -   ,18, -   ,1, -   ,10, -   ,6, -   , -   , -   , -   , -   ,69,16,102,"1,239","1,030",220,413,13,10,3,5,50,77,13,13,"1,302","1,466",540
2010, CLM , COLUMBUS OH , -   ,42,12,6, -   ,28,7,5, -   , -   , -   , -   , -   ,56,9,66,"1,132",871,240,387,5,6, -   ,1,26,17,5,6,"1,163","1,293",471
2010, CLT , CHARLOTTE NC  , -   ,14,4,6, -   ,18,4,7, -   , -   , -   , -   , -   ,89,25,125,"2,512","1,897",369,"1,094",94,47,13,32,67,49,10,32,"2,673","2,539","1,296"
