" U.S. Citizenship and Immigration Services
Districts* Form I-485 Applications to Register Permanent Residence or Adjust Status 
Receipts, Completions, and Pending 
Fiscal Year: 2013 (through 2nd Quarter) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, I-485 Asylee , I-485 Asylee , I-485 Asylee , I-485 Asylee , I-485 Refugee , I-485 Refugee , I-485 Refugee , I-485 Refugee , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Indo Chinese , I-485 Employment , I-485 Employment , I-485 Employment , I-485 Employment , I-485 Family , I-485 Family , I-485 Family , I-485 Family , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 Cuban Refugee , I-485 All Others , I-485 All Others , I-485 All Others , I-485 All Others , Total I-485s , Total I-485s , Total I-485s 
Fiscal Year, District* , Description , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Approvals , Denials , Pending , Receipts , Completions , Pending 
2013, ANC , ANCHORAGE AK , -   ,1,1,6, -   , -   ,2,32, -   , -   , -   , -   , -   , -   , -   ,3, -   ,187,18,420, -   , -   , -   , -   , -   ,7, -   ,8, -   ,216,490
, ATL , ATLANTA GA , -   ,44,9,152, -   ,44,12,132, -   , -   , -   ,7, -   ,174,36,"1,522", -   ,"5,362",589,"10,123", -   ,140,13,448, -   ,108,21,661, -   ,"6,552","13,725"
, BAL , BALTIMORE MD , -   ,50,3,503, -   ,6,6,127, -   , -   , -   , -   , -   ,72,9,741, -   ,"2,111",313,"8,981", -   , -   , -   ,47, -   ,171,3,407, -   ,"2,744","11,140"
, BOS , BOSTON MA , -   ,32,7,111, -   ,25,16,166, -   , -   , -   ,11, -   ,113,24,443, -   ,"4,184",466,"13,470", -   ,7,4,119, -   ,135,10,568, -   ,"5,023","15,415"
, BUF , BUFFALO NY , -   ,5, -   ,36, -   ,33,4,247, -   ,1, -   , -   , -   ,17,5,64, -   ,586,38,"1,501", -   ,17,1,60, -   ,33, -   ,47, -   ,740,"2,003"
, CHI , CHICAGO IL , -   ,10,6,225, -   ,19,9,371, -   , -   , -   , -   , -   ,85,35,"1,129", -   ,"4,713",488,"14,285", -   ,6,2,99, -   ,179,7,93, -   ,"5,559","16,749"
, CLE , CLEVELAND OH , -   ,15,4,51, -   ,24,3,103, -   , -   , -   , -   , -   ,26,3,112, -   ,"1,134",146,"2,033", -   ,6,1,6, -   ,32,2,52, -   ,"1,396","2,516"
, DAL , DALLAS TX , -   ,8,4,155, -   ,12,7,216, -   , -   , -   ,10, -   ,65,20,369, -   ,"3,702",355,"11,163", -   ,7,4,72, -   ,94,78,381, -   ,"4,356","12,834"
, DEN , DENVER CO ,1,10,5,67, -   ,28,4,141, -   , -   , -   ,8, -   ,52,8,191, -   ,"2,092",224,"4,617", -   ,4, -   ,41, -   ,85,6,179,1,"2,518","5,491"
, DET , DETROIT MI , -   ,5,4,140, -   ,12,1,138, -   , -   , -   , -   , -   ,51,7,36, -   ,"1,361",104,"2,298", -   ,5,1,62, -   ,53,11,76, -   ,"1,615","2,878"
, ELP , EL PASO TX , -   ,1, -   ,8, -   ,2, -   ,68, -   , -   , -   , -   , -   ,26,1,34,6,"1,473",150,"1,990", -   ,13, -   ,42, -   ,31,2,343,6,"1,699","2,638"
, VSC , VERMONT SERVICE CENTER , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
, HEL , HELENA MT , -   , -   ,1, -   , -   ,5,4,9, -   , -   , -   , -   , -   ,2, -   ,2, -   ,247,20,366, -   , -   , -   , -   , -   ,7, -   ,13, -   ,286,415
, HHW , HONOLULU HI , -   ,1, -   ,29, -   , -   , -   , -   , -   , -   , -   , -   , -   ,11,3,72, -   ,896,73,"2,854", -   , -   , -   ,7, -   ,9,3,42, -   ,996,"3,083"
, HLG , HARLINGEN TX , -   ,2, -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,1, -   , -   ,"1,109",123,"3,756", -   ,2,1,94, -   ,110,22,19, -   ,"1,372","4,019"
, HOU , HOUSTON TX , -   ,13,1,119, -   ,7,4,91, -   ,1, -   , -   , -   ,85,17,371, -   ,"3,323",367,"6,295", -   ,34,1,152, -   ,67,14,262, -   ,"3,934","7,694"
, KAN , KANSAS CITY MO , -   ,13,1,45, -   ,27,9,79, -   , -   , -   , -   , -   ,47,6,162, -   ,"1,118",108,"2,749", -   ,8,4,35, -   ,28,7,41, -   ,"1,376","3,246"
, LOS , LOS ANGELES CA , -   ,76,15,836, -   ,14,11,159, -   ,4,3,20, -   ,562,107,"2,022",11,"12,110","1,281","31,677", -   ,13,6,95, -   ,481,94,868,11,"14,777","37,194"
, MIA , MIAMI FL , -   ,84,20,522, -   ,48,12,343, -   , -   , -   ,4,1,180,45,551,1,"10,078","1,414","23,282", -   ,"1,876",413,"6,064",18,209,83,869,20,"14,462","33,622"
, NBC , NATIONAL BENEFITS CENTER ,2, -   ,1,579,277,4,2,"1,047", -   , -   , -   , -   , -   ,47,38,"3,751","128,272","7,101","2,650","545,935","18,550",952,127,"102,102","2,096",68,446,"5,923","149,197","11,436","662,601"
, NEW , NEWARK NJ , -   ,12,3,202, -   ,3,4,94, -   , -   , -   , -   , -   ,115,41,689, -   ,"4,814",569,"9,854", -   ,44,2,284, -   ,267,54,624, -   ,"5,928","12,420"
, NOL , NEW ORLEANS LA , -   ,16,3,89, -   ,42,13,254, -   , -   , -   ,4, -   ,42,7,308, -   ,"2,017",251,"4,303", -   ,63,14,176, -   ,70,11,324, -   ,"2,549","5,757"
, NSC , NEBRASKA SERVICE CENTER , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
, NYC , NEW YORK CITY NY , -   ,438,58,"1,623", -   ,9,3,109, -   , -   , -   , -   , -   ,324,91,"1,359", -   ,"8,940","1,244","29,130", -   ,21,6,152, -   ,"1,431",157,"1,201", -   ,"12,722","35,133"
, OMA , OMAHA NE , -   ,4,1,40, -   ,29,20,169, -   , -   , -   , -   , -   ,15,9,62, -   ,496,81,"1,110", -   ,7,2,163, -   ,17,10,63, -   ,691,"1,730"
, PHI , PHILADELPHIA PA , -   ,23,6,60, -   ,19,3,173, -   , -   , -   ,4, -   ,37,8,339, -   ,"2,707",226,"4,065", -   ,6,1,136, -   ,47,7,104, -   ,"3,090","5,132"
, PHO , PHOENIX AZ ,1,15,6,59, -   ,24,23,114, -   , -   , -   , -   , -   ,61,14,318,1,"3,874",534,"6,825", -   ,71,13,241, -   ,122,18,151,2,"4,775","8,316"
, POM , PORTLAND ME , -   ,4, -   ,8, -   ,8, -   ,45, -   , -   , -   ,1, -   ,1,1,11, -   ,202,13,342, -   , -   , -   , -   ,1,2, -   ,18,1,231,439
, POO , PORTLAND OR , -   ,6,2,34, -   ,7,8,26, -   , -   , -   , -   , -   ,15,1,55, -   ,898,71,"2,103", -   ,6,1,9, -   ,54, -   ,111, -   ,"1,069","2,421"
, SAJ , SAN JUAN PR , -   , -   , -   ,8, -   , -   , -   ,6, -   , -   , -   , -   , -   ,6, -   ,31, -   ,434,45,830, -   ,5,6,38, -   ,2, -   ,92, -   ,498,"1,056"
, SEA , SEATTLE WA , -   ,20,2,64, -   ,40,7,54, -   , -   , -   , -   , -   ,66,8,195, -   ,"2,013",164,"4,110", -   ,7, -   ,8, -   ,143,25,149, -   ,"2,495","4,786"
