,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
,,Family-based1,,,,Employment-based1,,,,Humanitarian-based1,,,,Others1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,
,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,," 74,115 "," 77,717 "," 7,943 "," 144,730 "," 35,152 "," 41,641 "," 2,434 "," 374,759 "," 38,388 "," 39,913 "," 1,287 "," 66,472 "," 6,627 "," 4,814 ", 965 ," 17,773 "," 154,282 "," 164,085 "," 12,629 "," 603,734 ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Anchorage  , 100 , 117 , 15 , 157 , -   , -   , -   , -   , -   , D , -   , 13 , D , D , -   , D , 105 , 127 , 15 , 173 ,,,,,,,,,,,,,,,,,,,,,
 Arizona ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   , Phoenix  ," 1,127 "," 1,196 ", 94 ," 2,041 ", -   , 18 , D , 37 , 75 , 70 , D , 250 , D , 45 , D , 49 ," 1,211 "," 1,329 ", 102 ," 2,377 ",,,,,,,,,,,,,,,,,,,,,
, Tucson , 362 , 330 , 52 , 818 , -   , -   , -   , D , D , 12 , D , 17 , D , D , -   , D , 370 , 343 , 53 , 847 ,,,,,,,,,,,,,,,,,,,,,
