 USCIS Field Office or Service Center Location ,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based1,Employment-based1,Employment-based1,Employment-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,"71,816","62,827","8,427","165,913","33,125","39,138","1,722","115,089","36,543","29,603","1,218","89,110","6,858","6,509",860,"16,484","148,342","138,077","12,227","386,596"
,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,
, Anchorage  ,129,163,15,215, -   , D , -   , D , D ,32, D ,26, D , D , D , D ,131,201,22,252
 Arizona ,,,,,,,,,,,,,,,,,,,,,
, Phoenix  ,"1,152",997,83,"2,492", -   ,11, D ,25,72,59, D ,232, D ,55, D ,56,"1,227","1,122",98,"2,805"
, Tucson ,327,370,53,836, -   ,15, D , D , D ,15, -   ,20, D , D , D , D ,330,404,56,862
 Arkansas ,,,,,,,,,,,,,,,,,,,,,
, Fort Smith  ,123,124,15,237, -   , D , -   , -   , D , D , D ,10, D , D , -   ,10,127,137,16,257
 California ,,,,,,,,,,,,,,,,,,,,,
, Chula Vista ,638,548,40,"1,296", -   , D , -   , D ,12,16, D ,38, -   , D , D ,12,650,576,43,"1,351"
, Fresno  ,716,566,85,"1,409", -   , D , -   , D , D , D , D ,17, D , D , D ,11,725,586,90,"1,445"
, Imperial ,120,206, D ,237, -   , -   , -   , D , D , -   , -   ,10, -   , -   , -   , -   ,121,206, D ,252
