"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of Admission,  Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,,,,,,,,,
"October 1 - December 31, 2013",, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based1,Employment-based1,Employment-based1,Employment-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
USCIS Field Office or Service Center Location,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,"68,185","60,495","6,936","156,013","30,568","31,702","1,824","117,892","39,089","31,289","1,156","73,674","6,511","4,617",853,"17,573","144,353","128,103","10,769","365,152"
,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,
, Anchorage  ,125,106,23,211, -   , -   , -   , -   , D ,18, D ,29, D , D , D , D ,129,133,26,246
 Arizona ,,,,,,,,,,,,,,,,,,,,,
   , Phoenix  ,"1,033",996,103,"2,075", -   ,19, -   ,25,85,116,10,205,19,21, D ,103,"1,137","1,152",118,"2,408"
, Tucson ,318,329,61,799, -   , D , D , D , D , D , D ,19, D , D , -   , D ,324,342,63,822
 Arkansas ,,,,,,,,,,,,,,,,,,,,,
, Fort Smith  ,124,99,16,259, -   , D , -   , D , D , -   , -   , D , D , D , D , D ,128,106,20,272
 California ,,,,,,,,,,,,,,,,,,,,,
, Chula Vista ,688,476,41,"1,561", -   , D , -   ,15,18, D , D ,47, D , D , -   ,25,709,493,46,"1,648"
, Fresno  ,692,602,70,"1,248", -   , D , D , D , D , D , D ,12, D ,12, D ,54,704,624,80,"1,319"
, Imperial ,140,299, D ,349, -   , -   , -   , D , -   , -   , -   , D , -   , -   , -   , D ,140,299, D ,356
, Los Angeles  ,"2,052","2,181",165,"4,317", -   ,96,14,207,20,47, -   ,129,32,79, D ,190,"2,104","2,403",184,"4,843"
, Los Angeles County  ,"1,931","2,099",414,"4,635", -   ,113,18,88,21,30,13,127,23,67, D ,46,"1,975","2,309",454,"4,896"
, Sacramento  ,791,843,80,"1,274", -   ,14, D , D ,10,21, D ,27, D , D , D ,21,809,882,90,"1,330"
, San Bernardino ,"1,528","1,352",151,"3,341", -   ,36,11,73, D ,21, D ,31,11,33, D ,39,"1,547","1,442",171,"3,484"
, San Diego  ,601,579,42,"1,041", -   ,21, D ,33, D , D , -   ,32,15, D , -   ,39,624,605,46,"1,145"
, San Fernando Valley ,"1,307","1,286",114,"2,913", -   ,60,13,60,14, D , -   ,65,22,33, D ,34,"1,343","1,387",132,"3,072"
, San Francisco ,"1,975","1,686",135,"3,661", -   ,57, D ,57,12,67, D ,70,30,13, D ,154,"2,017","1,823",152,"3,942"
, San Jose  ,"1,208","1,071",62,"2,381", -   ,49, D ,118, D , D , D ,24,11, D , -   ,43,"1,222","1,138",70,"2,566"
, Santa Ana ,"1,316","1,193",108,"3,029", -   ,92, D ,136,12, D , D ,50,15,17, D ,30,"1,343","1,311",124,"3,245"
 Colorado ,,,,,,,,,,,,,,,,,,,,,
, Denver  ,943,472,100,"2,319", -   , D , D ,98,14,12, D ,62,19,19, D ,108,976,507,108,"2,587"
 Connecticut ,,,,,,,,,,,,,,,,,,,,,
, Hartford  ,798,576,82,"2,123", -   ,20, D ,90, D ,12, -   ,41, D , D , -   ,18,810,610,83,"2,272"
 District of Columbia ,,,,,,,,,,,,,,,,,,,,,
, Washington  ,"1,457","1,229",169,"3,648", -   ,68,17,39,19,33,15,69,34,123,13,169,"1,510","1,453",214,"3,925"
 Florida ,,,,,,,,,,,,,,,,,,,,,
, Hialeah ,537,490,47,"1,329", -   ,28, D ,14,"2,503","2,300",76,"6,301",10,13, D ,18,"3,050","2,831",130,"7,662"
, Jacksonville ,435,418,56,822, -   , D , D , D ,52,107, D ,130, D , D , D ,15,492,537,63,972
, Kendall ,593,477,73,"1,508", -   ,10, D ,11,"2,631","3,714",93,"5,108", D , D , D ,30,"3,229","4,205",170,"6,657"
, Miami  ,974,531,86,"3,484", -   ,10, D ,37,"1,546",752,54,"5,750",10, D , -   ,93,"2,530","1,297",141,"9,364"
, Oakland Park ,"1,342","1,312",140,"2,873", -   ,28, D ,21,357,654,35,894,10, D ,12,40,"1,709","2,001",190,"3,828"
, Orlando  ,"1,040",536,98,"3,108", -   , D , D ,29,244,171,10,629,10, D , D ,36,"1,294",719,112,"3,802"
, Tampa  ,978,535,147,"2,617", -   ,10, D ,12,795,486,44,"2,393",15, D , -   ,85,"1,788","1,033",192,"5,107"
