"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of Admission,  Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,,,,,,,,,
"January 1 - March 31, 2014",,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based1,Employment-based1,Employment-based1,Employment-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,"65,479","62,080","8,033","154,341","29,639","30,651","1,611","119,178","39,586","35,199","1,334","76,603","6,591","6,051",953,"15,759","141,295","133,981","11,931","365,881"
,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,
, Anchorage  ,128,164,19,233, -   , -   , -   , -   , D ,12,10,42, -   , D , -   , D ,129,181,29,279
 Arizona ,,,,,,,,,,,,,,,,,,,,,
   , Phoenix  ,"1,043","1,044",80,"2,055", -   ,17, D ,27,82,94,11,203, D ,70, -   ,95,"1,128","1,225",94,"2,380"
, Tucson ,351,299,43,789, -   , -   , -   , D ,10, D , D ,18, D ,13, -   , D ,366,315,47,815
 Arkansas ,,,,,,,,,,,,,,,,,,,,,
, Fort Smith  ,96,132,12,219, -   , -   , -   , D , -   , D , -   , D , D , D , -   ,11,99,136,12,238
 California ,,,,,,,,,,,,,,,,,,,,,
, Chula Vista ,604,579,65,"1,183", -   , D , D , D ,14,12, -   ,47,11, D , -   ,27,629,607,66,"1,264"
