 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based received at service center1,Employment-based received at service center1,Employment-based received at service center1,Employment-based received at service center1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,,"78,921","67,721","7,730","196,837","34,266","38,464","1,651","118,481","41,001","40,222","1,256","93,209","8,795","6,488",851,"19,183","162,983","152,895","11,488","427,710"
,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC ,125,133,6,297, -   , -   ,2,1, -   ,19,2,18, -   ,2, -   ,3,125,154,10,319
 Arizona ,,,,,,,,,,,,,,,,,,,,,,
, Phoenix  , PHO ,"1,387",906,91,"3,488", -   ,7,5,24,91,274,11,487,9,18,8,33,"1,487","1,205",115,"4,032"
, Tucson , TUC ,414,484,52,796, -   , -   , -   ,2,23,156,4,44,3,8,1,5,440,648,57,847
 Arkansas ,,,,,,,,,,,,,,,,,,,,,,
, Fort Smith  , FSA ,168,198,15,354, -   ,2, -   , -   , -   ,31, -   ,9,6,2,1,9,174,233,16,372
 California ,,,,,,,,,,,,,,,,,,,,,,
, Chula Vista , CVC ,784,520,41,"1,666", -   ,2, -   ,7,19,2,1,69,12,4, -   ,14,815,528,42,"1,756"
, Fresno  , FRE ,767,535,58,"1,795", -   ,4,1,5,9,5,2,23,4,13,2,5,780,557,63,"1,828"
, Imperial , IMP ,133,179,6,294, -   , -   , -   , -   , -   ,93, -   ,45, -   ,1, -   ,1,133,273,6,340
