 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,,Family-based1,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,,"80,952","73,719","8,072","203,650","29,953","29,352","1,728","124,587","39,871","39,720","1,162","86,677","8,116","7,406","1,091","23,176","158,892","150,197","12,053","438,090"
,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC ,114,91,10,294, -   , -   , -   , D , D , D , D , D , D , -   , -   ,11,118,92,11,314
 Arizona ,,,,,,,,,,,,,,,,,,,,,,
, Phoenix  , PHO ,"1,250","1,460",125,"2,662", -   , D , D ,21,110,114, D ,177,12,22, D ,43,"1,372","1,601",140,"2,903"
, Tucson , TUC ,424,597,42,957, -   , D , -   ,10, D ,408, D ,263, D , D , D , D ,433,"1,012",48,"1,234"
 Arkansas ,,,,,,,,,,,,,,,,,,,,,,
, Fort Smith  , FSA ,165,241,13,351, -   , D , -   , D , D ,31, -   ,20, D ,18, D , D ,174,293,19,377
 California ,,,,,,,,,,,,,,,,,,,,,,
, Chula Vista , CVC ,436,299,44, -   , -   , D , -   , -   ,26, D , D , -   , D , -   , -   , -   ,469,308,45, -   
, Fresno  , FRE ,800,710,75,"1,664", -   , D , D , -   , D , D , D ,21, D , D , -   , D ,807,734,77,"1,688"
, Imperial , IMP ,115,238, D ,234, -   , -   , -   , D , D ,145, D , D , D , D , -   , D ,117,384, D ,245
, Los Angeles  , LOS ,"2,017","1,978",317,"4,103", -   ,72,21,127,15,302,23,145,34,83,10,75,"2,066","2,435",371,"4,450"
