,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Family-based1,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,," 83,464 "," 64,192 "," 8,353 "," 247,062 "," 30,745 "," 20,798 "," 1,882 "," 129,424 "," 44,233 "," 38,279 "," 1,244 "," 90,968 "," 8,088 "," 6,615 "," 1,397 "," 22,650 "," 166,530 "," 129,884 "," 12,876 "," 490,104 ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC , 129 , 95 , 10 , 320 , -   , -   , -   , D , D , D , D , D , D , D , D , -   , 133 , 103 , 13 , 332 ,,,,,,,,,,,,,,,,,,,,,
 Arizona ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Phoenix  , PHO ," 1,291 ", 624 , 99 ," 3,484 ", -   , D , D , 18 , 157 , 87 , D , 232 , D , 15 , D , 41 ," 1,449 ", 730 , 108 ," 3,775 ",,,,,,,,,,,,,,,,,,,,,
, Tucson , TUC , 426 , 788 , 39 ," 1,195 ", -   , D , -   , D , D , 470 , 10 , 336 , -   , D , -   , D , 432 ," 1,263 ", 49 ," 1,539 ",,,,,,,,,,,,,,,,,,,,,
