,,,,,,,,,"Number of form I-485, Applications to Register Permanent Residence or Adjust Status, by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
January 1 - March 31, 2017  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"89,229","65,959","8,960","292,086","30,897","27,948","1,855","138,347","46,119","33,524","1,061","113,278","9,870","6,642",846,"28,254","176,403","134,402","13,201","572,129",,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Field Office Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC ,113,146,10,264,0,D,0,0,0,D,D,D,0,D,0,D,113,152,13,273,,,,,,,,,,,,,,,,,,,,,,,,
 Arizona ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Phoenix  , PHO ,"1,489","1,603",116,"3,552",0,16,D,26,188,157,D,393,D,D,D,45,"1,679","1,782",122,"4,016",,,,,,,,,,,,,,,,,,,,,,,,
, Tucson , TUC ,475,706,41,"1,024",0,D,0,0,D,27,D,24,0,0,0,D,481,734,45,"1,052",,,,,,,,,,,,,,,,,,,,,,,,
 Arkansas ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Fort Smith  , FSA ,165,205,15,506,0,0,0,D,D,141,0,28,0,0,0,10,166,346,15,546,,,,,,,,,,,,,,,,,,,,,,,,
 California ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Chula Vista , CVC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
, Fresno  , FRE ,925,573,74,"2,540",0,D,D,11,D,D,0,16,D,D,D,15,931,588,76,"2,582",,,,,,,,,,,,,,,,,,,,,,,,
, Imperial , IMP ,103,156,D,190,0,0,0,D,0,39,0,13,0,D,0,D,103,196,D,207,,,,,,,,,,,,,,,,,,,,,,,,
, Los Angeles  , LOS ,"2,143","1,723",202,"5,602",0,59,11,232,31,46,D,143,32,41,17,195,"2,206","1,869",235,"6,172",,,,,,,,,,,,,,,,,,,,,,,,
, Los Angeles County  , LAC ,"2,512","1,160",226,"8,139",0,37,18,130,36,46,11,242,D,28,D,37,"2,552","1,271",258,"8,548",,,,,,,,,,,,,,,,,,,,,,,,
, Sacramento  , SAC ,"1,082",874,82,"2,761",0,D,0,16,D,55,D,59,D,29,D,26,"1,094",961,90,"2,862",,,,,,,,,,,,,,,,,,,,,,,,
, San Bernardino , SBD ,"2,037","1,665",326,"4,871",0,27,D,40,20,45,D,78,D,25,11,17,"2,063","1,762",347,"5,006",,,,,,,,,,,,,,,,,,,,,,,,
, San Diego  , SND ,"1,537","1,017",104,"4,446",0,32,D,47,37,24,0,113,D,14,0,37,"1,579","1,087",105,"4,643",,,,,,,,,,,,,,,,,,,,,,,,
, San Fernando Valley , SFV ,"1,571","1,000",169,"4,969",0,18,D,69,16,11,D,86,12,26,D,25,"1,599","1,055",178,"5,149",,,,,,,,,,,,,,,,,,,,,,,,
, San Francisco , SFR ,"2,434","1,613",115,"8,014",0,45,D,125,20,69,D,189,20,10,D,125,"2,474","1,737",122,"8,453",,,,,,,,,,,,,,,,,,,,,,,,
, San Jose  , SNJ ,"1,215",928,62,"4,242",0,51,D,113,D,29,D,81,D,D,D,150,"1,232","1,015",73,"4,586",,,,,,,,,,,,,,,,,,,,,,,,
, Santa Ana , SAA ,"1,789","1,575",210,"4,884",0,36,17,165,D,27,0,53,D,13,D,47,"1,806","1,651",228,"5,149",,,,,,,,,,,,,,,,,,,,,,,,
 Colorado ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Denver  , DEN ,"1,291","1,049",160,"4,732",0,21,D,37,74,D,D,214,D,12,D,92,"1,368","1,090",175,"5,075",,,,,,,,,,,,,,,,,,,,,,,,
 Connecticut ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
, Hartford  , HAR ,948,649,172,"2,929",0,42,10,61,14,D,D,57,D,12,D,D,964,707,186,"3,056",,,,,,,,,,,,,,,,,,,,,,,,
Delaware,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
,Dover, DVD ,0,D,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,132,,,,,,,,,,,,,,,,,,,,,,,,
