,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
April 1 - June 30, 2017  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"93,914","71,393","9,854","305,370","41,920","29,689","1,705","148,547","47,773","36,736","1,262","122,768","11,367","7,986",931,"32,356","194,974","145,804","13,752","609,041",,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC ,133,85,10,305,0,D,0,D,D,D,D,D,0,0,D,D,139,89,13,318,,,,,,,,,,,,,,,,,,,,,
 Arizona ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Phoenix  , PHO ,"1,610",854,111,"4,357",0,D,D,38,227,215,D,591,0,D,D,33,"1,837","1,084",117,"5,019",,,,,,,,,,,,,,,,,,,,,
, Tucson , TUC ,494,323,39,"1,163",0,D,0,D,16,84,0,36,0,0,0,D,510,409,39,"1,209",,,,,,,,,,,,,,,,,,,,,
 Arkansas ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Fort Smith  , FSA ,180,165,12,570,0,D,0,D,D,102,0,101,0,D,0,D,182,271,12,680,,,,,,,,,,,,,,,,,,,,,
 California ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Chula Vista , CVC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
, Fresno  , FRE ,967,791,83,"2,688",0,D,D,10,D,D,0,26,D,D,0,15,971,799,85,"2,739",,,,,,,,,,,,,,,,,,,,,
, Imperial , IMP ,130,98,D,237,0,D,0,0,D,D,0,15,0,0,0,D,134,100,D,255,,,,,,,,,,,,,,,,,,,,,
, Los Angeles  , LOS ,"2,326","1,870",224,"5,786",0,52,D,294,26,33,D,159,21,143,13,111,"2,373","2,098",247,"6,350",,,,,,,,,,,,,,,,,,,,,
, Los Angeles County  , LAC ,"2,504","1,583",289,"8,420",0,19,D,124,45,68,D,255,D,19,D,24,"2,554","1,689",301,"8,823",,,,,,,,,,,,,,,,,,,,,
, Sacramento  , SAC ,"1,100",629,66,"3,201",0,D,D,12,22,17,D,70,D,11,D,26,"1,127",661,73,"3,309",,,,,,,,,,,,,,,,,,,,,
, San Bernardino , SBD ,"2,161","1,900",276,"4,975",0,16,D,44,35,36,D,98,D,33,D,28,"2,200","1,985",289,"5,145",,,,,,,,,,,,,,,,,,,,,
, San Diego  , SND ,"1,542","1,056",149,"4,978",0,30,D,31,59,44,D,130,D,40,D,69,"1,610","1,170",160,"5,208",,,,,,,,,,,,,,,,,,,,,
, San Fernando Valley , SFV ,"1,600",983,166,"5,462",0,D,D,78,D,18,D,87,D,23,D,28,"1,606","1,032",172,"5,655",,,,,,,,,,,,,,,,,,,,,
, San Francisco , SFR ,"2,394","1,825",177,"8,342",0,69,D,110,16,81,D,220,16,22,D,74,"2,426","1,997",186,"8,746",,,,,,,,,,,,,,,,,,,,,
, San Jose  , SNJ ,"1,278","1,154",114,"4,502",0,49,D,172,D,18,D,86,10,D,0,42,"1,294","1,228",121,"4,802",,,,,,,,,,,,,,,,,,,,,
, Santa Ana , SAA ,"1,862",938,259,"5,565",0,53,27,195,15,19,D,64,D,D,D,44,"1,881","1,016",289,"5,868",,,,,,,,,,,,,,,,,,,,,
 Colorado ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Denver  , DEN ,"1,214",970,172,"4,724",0,14,0,38,90,11,D,272,D,17,D,80,"1,310","1,012",185,"5,114",,,,,,,,,,,,,,,,,,,,,
 Connecticut ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Hartford  , HAR ,973,917,250,"2,781",0,17,D,61,23,D,D,68,D,16,D,64,"1,005",956,269,"2,974",,,,,,,,,,,,,,,,,,,,,
Delaware,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dover, DVD ,0,113,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,19,,,,,,,,,,,,,,,,,,,,,
 District of Columbia ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Washington  , WAS ,"1,630",659,120,"5,840",0,50,16,177,42,25,D,210,28,46,15,430,"1,700",780,157,"6,657",,,,,,,,,,,,,,,,,,,,,
 Florida ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Hialeah , HIA ,"1,162",415,65,"3,213",0,29,D,34,"3,833","1,998",83,"9,564",11,21,D,22,"5,006","2,463",157,"12,833",,,,,,,,,,,,,,,,,,,,,
, Jacksonville , JAC ,604,469,54,"1,569",0,D,0,29,191,213,D,865,D,D,0,D,800,690,56,"2,471",,,,,,,,,,,,,,,,,,,,,
