,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
July 1 - September 30, 2017  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"87,734","71,142","9,708","314,939","23,032","23,459","2,127","149,382","49,862","40,940","1,221","131,089","4,958","6,654","1,232","28,948","165,586","142,195","14,288","624,358",,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Montgomery , MGA , 563 , 236 , 28 , 682 , -   , 17 , D  , 59 , 48 , 10 , -   , 54 , D , 27 , D  , D , 614 , 290 , 39 , 800 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC , 134 , 128 , 16 , 301 , -   , -   , -   , D , 7 , D , D  , D , -   , -   , -   , D , 141 , 131 , 19 , 311 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Arizona ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Phoenix  , PHO ," 1,384 ", 696 , 129 ," 4,873 ", D , D , -   , 90 , 201 , 178 , D , 542 , D , D , D , 25 ," 1,590 ", 890 , 138 ," 5,530 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Tucson , TUC , 409 , 284 , 27 ," 1,312 ", -   , D , D , 13 , D , 90 , -   , 85 , D , D , -   , D , 413 , 379 , 28 ," 1,415 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Arkansas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Fort Smith  , FSA , 175 , 194 , 24 , 580 , -   , D , -   , 14 , D , 128 , D , 105 , D , -   , -   , 14 , 181 , 325 , 25 , 713 ,,,,,,,,,,,,,,,,,,,,,,,,,
 California ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Chula Vista , CVC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,
, Fresno  , FRE ," 1,000 ", 740 , 96 ," 2,942 ", -   , -   , -   , 19 , D , D , D , 27 , D , D , D , D ," 1,008 ", 749 , 99 ," 3,004 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Imperial , IMP , 121 , 67 , D  , 291 , -   , -   , -   , D , D , -   , D , 17 , -   , -   , -   , D , 123 , 67 , D , 316 ,,,,,,,,,,,,,,,,,,,,,,,,,
, Los Angeles  , LOS ," 2,297 "," 1,789 ", 244 ," 6,180 ", -   , 28 , 10 , 490 , 75 , 44 , D , 193 , D , 103 , 15 , 152 ," 2,381 "," 1,964 ", 277 ," 7,015 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Los Angeles County  , LAC ," 2,251 "," 2,802 ", 316 ," 8,056 ", -   , 27 , D , 147 , 36 , 80 , 10 , 237 , D , 22 , D , 36 ," 2,292 "," 2,931 ", 336 ," 8,476 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Sacramento  , SAC , 951 , 809 , 90 ," 3,279 ", -   , D , -   , 42 , 10 , D , D , 80 , D , 11 , D , 21 , 966 , 828 , 102 ," 3,422 ",,,,,,,,,,,,,,,,,,,,,,,,,
, San Bernardino , SBD ," 1,950 "," 1,856 ", 256 ," 5,049 ", -   , D , D , 91 , 27 , 37 , D , 101 , D , 24 , D , 19 ," 1,981 "," 1,926 ", 263 ," 5,260 ",,,,,,,,,,,,,,,,,,,,,,,,,
, San Diego  , SND ," 1,418 "," 1,661 ", 132 ," 4,404 ", -   , 14 , D , 159 , 35 , 41 , D , 126 , D , 46 , -   , 27 ," 1,455 "," 1,762 ", 136 ," 4,716 ",,,,,,,,,,,,,,,,,,,,,,,,,
, San Fernando Valley , SFV ," 1,479 "," 1,353 ", 153 ," 5,448 ", -   , 20 , D , 151 , 19 , 20 , D , 85 , D , 20 , D , 41 ," 1,505 "," 1,413 ", 158 ," 5,725 ",,,,,,,,,,,,,,,,,,,,,,,,,
, San Francisco , SFR ," 2,335 "," 1,723 ", 130 ," 8,761 ", -   , 33 , D , 460 , 20 , 58 , D , 268 , 15 , 17 , D , 103 ," 2,370 "," 1,831 ", 141 ," 9,592 ",,,,,,,,,,,,,,,,,,,,,,,,,
, San Jose  , SNJ ," 1,262 "," 1,221 ", 158 ," 4,276 ", -   , 35 , 11 , 547 , 10 , 25 , D , 67 , D , D , D , 37 ," 1,276 "," 1,284 ", 172 ," 4,927 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Santa Ana , SAA ," 1,702 ", 910 , 179 ," 6,164 ", -   , 41 , 12 , 369 , 16 , 10 , D , 86 , D , D , D , 39 ," 1,722 ", 968 , 193 ," 6,658 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Colorado ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Denver  , DEN ," 1,201 ", 697 , 126 ," 4,939 ", -   , D , -   , 81 , 92 , D , D , 329 , D , 27 , D , 56 ," 1,296 ", 731 , 134 ," 5,405 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Connecticut ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Hartford  , HAR , 954 , 697 , 161 ," 2,907 ", -   , 13 , 10 , 122 , D , 14 , D , 64 , D , D , D , 21 , 971 , 733 , 178 ," 3,114 ",,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dover, DVD , -   , -   , -   , D , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , D ,,,,,,,,,,,,,,,,,,,,,,,,,
 District of Columbia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Washington  , WAS ," 1,539 ", 726 , 123 ," 6,496 ", -   , 22 , D , 326 , 62 , 32 , D , 265 , 16 , 96 , 30 , 332 ," 1,617 ", 876 , 168 ," 7,419 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Florida ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Hialeah , HIA , 698 , 517 , 110 ," 3,020 ", -   , 12 , D , 98 ," 3,439 "," 2,109 ", 110 ," 9,810 ", 23 , 22 , D , 28 ," 4,160 "," 2,660 ", 226 ," 12,956 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Jacksonville , JAC , 526 , 586 , 47 ," 1,472 ", -   , 10 , -   , 56 , 206 , 571 , D , 695 , D , 9 , -   , 13 , 733 ," 1,176 ", 50 ," 2,236 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Kendall , KND , 627 , 535 , 67 ," 2,514 ", -   , 12 , D , 42 ," 3,680 "," 2,290 ", 75 ," 10,376 ", 10 , 16 , D , 18 ," 4,317 "," 2,853 ", 145 ," 12,950 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Miami  , MIA ," 1,240 ", 367 , 115 ," 6,529 ", -   , 12 , D , 161 ," 2,075 ", 957 , 38 ," 7,008 ", D , 15 , D , 29 ," 3,324 "," 1,351 ", 161 ," 13,727 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Fort Myers , OFM , 423 , 363 , 53 ," 1,832 ", -   , D , -   , 15 , 787 , 470 , 10 ," 2,601 ", -   , D , -   , 25 ," 1,210 ", 836 , 63 ," 4,473 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Oakland Park , OKL ," 1,587 ", 731 , 148 ," 7,571 ", -   , 13 , 10 , 72 , 382 , 284 , 17 ," 1,587 ", 11 , 10 , D , 22 ," 1,980 "," 1,038 ", 180 ," 9,252 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Orlando  , ORL ," 1,467 "," 1,139 ", 240 ," 5,571 ", -   , 22 , D , 97 , 558 , 635 , 26 ," 1,452 ", 15 , 20 , D , 25 ," 2,040 "," 1,816 ", 271 ," 7,145 ",,,,,,,,,,,,,,,,,,,,,,,,,
