,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
October 1 - December 31, 2017  ",,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,,"85,009","63,872","7,797","335,810","33,320","30,472","2,142","142,577","52,878","43,368","1,138","138,019","9,355","5,070",975,"34,073","180,562","142,782","12,052","650,479"
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,
, Montgomery , MGA ,615,205,29,"2,443", -   , D , -   ,295,44, D , D ,184, D , D , D ,28,664,225,31,"2,950"
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Anchorage  , ANC ,108,96,16,293, -   , -   , -   ,12, D , D , D ,13, -   , D , -   , D ,111,99,17,319
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Phoenix  , PHO ,"1,253",813,114,"5,148", -   ,12, D ,189,188,53,13,500, D ,10, -   ,29,"1,447",888,131,"5,866"
, Tucson , TUC ,398,645,29,"1,112", -   ,12, -   ,41,10,73, D ,93, D , D , D , D ,409,731,33,"1,250"
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Fort Smith  , FSA ,160,192,21,480, -   ,25, D ,63, D ,127, D ,101, D , D , -   ,17,169,345,25,661
 California ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Chula Vista , CVC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
, Fresno  , FRE ,892,782,84,"2,990", -   ,21, D ,54, D , D , D ,31, D , D , -   ,15,902,814,88,"3,090"
, Imperial , IMP ,81,122, D ,218, -   , -   , -   , D , D , -   , -   ,19, -   , D , -   , D ,83,123, D ,249
, Los Angeles  , LOS ,"2,284","1,830",132,"6,477", D ,121, D ,905,21,37, D ,165,12,34,21,130,"2,318","2,022",167,"7,677"
, Los Angeles County  , LAC ,"2,052","1,445",294,"8,668", -   ,45, D ,460,29,39, D ,237,15,17, D ,36,"2,096","1,546",313,"9,401"
, Sacramento  , SAC ,977,824,69,"3,452", -   ,27, D ,125, D , D , D ,92, D , D , D ,14,988,862,75,"3,683"
, San Bernardino , SBD ,"1,891","1,773",204,"4,993", -   ,36,11,215,27,25, D ,116,12,40,12,26,"1,930","1,874",228,"5,350"
, San Diego  , SND ,"1,359","2,098",149,"3,552", -   ,108, D ,425,25,56, D ,107, D ,23, D ,12,"1,393","2,285",155,"4,096"
, San Fernando Valley , SFV ,"1,448",982,127,"5,817", -   ,42, D ,275, D ,17, D ,71, D ,32,16,30,"1,462","1,073",152,"6,193"
, San Francisco , SFR ,"2,245","1,436",102,"9,510", -   ,330, -   ,"1,436",14,86, D ,284,28, D , D ,92,"2,287","1,860",110,"11,322"
, San Jose  , SNJ ,"1,270","1,081",85,"4,428", -   ,367, D ,"1,830", D ,25, D ,70, D , D , D ,40,"1,283","1,479",101,"6,368"
, Santa Ana , SAA ,"1,645",959,168,"6,717", D ,127, D ,680,15,22, D ,89,13,18,10,49,"1,674","1,126",184,"7,535"
 Colorado ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Denver  , DEN ,"1,202",573,133,"5,341", -   ,24, -   ,272,102, D , D ,365,10,16, D ,122,"1,314",618,143,"6,100"
 Connecticut ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Hartford  , HAR ,996,441,144,"3,347", D ,35, D ,365,17,12, D ,65,14, D , -   ,39,"1,028",489,150,"3,816"
Delaware,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
,Dover, DVD , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 District of Columbia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Washington  , WAS ,"1,493","1,189",147,"6,584", -   ,146,10,708,61,34, D ,262,23,60,49,293,"1,577","1,429",213,"7,847"
 Florida ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Hialeah , HIA ,773,445,48,"3,248", -   ,18,12,326,"3,421","2,218",81,"9,753",14, D , D ,57,"4,208","2,684",143,"13,384"
, Jacksonville , JAC ,455,445,53,"1,387", D ,28, D ,167,194,332, D ,637, D , D , D ,13,654,813,66,"2,204"
, Kendall , KND ,589,343,78,"2,570", -   ,21, D ,112,"3,960","1,770",72,"10,201", D , D , D ,62,"4,556","2,139",154,"12,945"
, Miami  , MIA ,"1,298",370,112,"7,217", -   ,51, -   ,570,"2,218","1,450",61,"7,270",20,12, D ,69,"3,536","1,883",177,"15,126"
, Fort Myers , OFM ,439,231,41,"2,127", -   , D , -   ,29,840,356, D ,"2,438", D , D , -   ,18,"1,281",597,49,"4,612"
, Oakland Park , OKL ,"1,534",721,163,"8,255", D ,43,12,402,365,277,18,"1,661", D , D , D ,20,"1,907","1,048",194,"10,338"
, Orlando  , ORL ,"1,449",883,168,"6,093", D ,17, D ,354,513,679,21,"1,610", D , D , D ,29,"1,971","1,580",196,"8,086"
, Tampa  , TAM ,"1,075","1,292",163,"3,227", -   ,31, -   ,197,"1,495","1,511",65,"4,472", D , D , D ,42,"2,573","2,840",230,"7,938"
, West Palm Beach , WPB ,"1,084",759,165,"4,459", -   ,23, D ,170,626,746,11,"1,739", D ,23, D ,30,"1,714","1,551",185,"6,398"
 Georgia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Atlanta  , ATL ,"2,283","1,758",205,"10,205", D ,141, D ,869,109,759,11,"1,346",10,71, D ,117,"2,405","2,729",226,"12,537"
 Hawaii ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Honolulu  , HHW ,345,93,25,"1,588", -   ,10, D ,41, -   , -   , -   ,29, D , -   , -   , D ,346,103,27,"1,665"
 Idaho ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Boise  , BOI ,177,308,10,602, -   ,11, -   ,71,10,312, D ,170, -   , D , -   , D ,187,632,17,849
 Illinois ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Chicago  , CHI ,"3,417","2,468",241,"13,252", D ,150,15,832,58,27, D ,302,34,23, D ,199,"3,512","2,668",268,"14,585"
 Indiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Indianapolis  , INP ,642,536,71,"1,633", D ,29, D ,163,43,68, D ,114, D , D , D ,34,689,641,83,"1,944"
 Iowa ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Des Moines , DSM ,217,246,22,798, -   ,13, -   ,119,29,17, D ,90, D ,10, -   ,25,249,286,26,"1,032"
 Kansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Wichita , WIC ,225,152, D ,789, -   , D , -   ,15,38,37, D ,181, D , D , -   , D ,264,201, D ,989
 Kentucky ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Louisville  , LOU ,307,298,30,894, -   ,21, D ,110,553,746,13,879, D ,29, D ,86,867,"1,094",49,"1,969"
,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
October 1 - December 31, 2017  ",,,,,,,,,,,,,
,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 Louisiana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
