"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of Admission,  Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,,,,,,,,,
"April 1 - June 30, 2014",,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based1,Employment-based1,Employment-based1,Employment-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Humanitarian-based1,Others1,Others1,Others1,Others1, Total , Total , Total , Total 
,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
,,,,,   ,,,,,,,,,,,,,,,,
 Total ,,"74,816","63,037","8,677","161,097","29,200","25,449","1,749","122,754","43,090","36,621","1,316","81,616","7,679","6,815",873,"17,209","154,785","131,922","12,615","382,676"
,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,,,,,,,,,,,,,,,,,,,,
, Anchorage  ,118,186,32,186, -   , -   , -   , D , D ,33, D ,16, D , D , -   , D ,122,228,34,214
 Arizona ,,,,,,,,,,,,,,,,,,,,,
, Phoenix  ,"1,245",945,111,"2,372", -   ,14, D ,24,86,55,13,229, D ,34, D ,76,"1,336","1,048",129,"2,701"
, Tucson ,469,291,46,938, -   , D , D , D , D , D , D ,13, D , D , -   , D ,474,305,49,967
 Arkansas ,,,,,,,,,,,,,,,,,,,,,
, Fort Smith  ,160,109,28,254, -   , -   , -   , D , -   , D , -   , D , -   , D , D ,11,160,114,31,273
 California ,,,,,,,,,,,,,,,,,,,,,
, Chula Vista ,720,562,53,"1,243", -   , D , D , D , D ,17, -   ,45, D , D , D ,18,732,590,62,"1,311"
